"Site Crawled","https://inc5shop.com/"
"Start Date","2026-07-23"
"Start Time","16:48:07"
"Last Modified Date","2026-07-23"
"Last Modified Time","16:51:09"
"Elapsed","00:03:01"
"Report Date","2026-07-23"
"Report Time","16:51:16"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Contains Structured Data","0","0.00%","41","Internal HTML pages with 2xx response"
"Missing","0","0.00%","41","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","41","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","41","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","41","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","41","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","41","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","41","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","41","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","41","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","41","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","755","100.00%","755","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","755","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","755","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","755","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","755","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","755","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","755","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","755","Internal HTML/XML pages"
""
"PageSpeed"
"All","41","100.00%","41","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","41","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","41","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","41","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","41","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","41","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","41","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","41","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","41","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","41","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","41","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","41","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","41","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","41","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","41","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","41","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","41","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","41","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","41","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","41","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","41","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","41","100.00%","41",""
"Viewport Not Set","0","0.00%","41",""
"Target Size","0","0.00%","41",""
"Content Not Sized Correctly","0","0.00%","41",""
"Illegible Font Size","0","0.00%","41",""
"Contains Unsupported Plugins","0","0.00%","41",""
"Mobile Alternate Link","0","0.00%","41",""
""
"Accessibility"
"All","41","100.00%","41",""
"Accessibility Score Poor","0","0.00%","41",""
